location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Chile,2020-12-24,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,420,420,0,0
Chile,2020-12-25,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,5199,5199,0,0
Chile,2020-12-26,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8340,8340,0,0
Chile,2020-12-27,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2020-12-28,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2020-12-29,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2020-12-30,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2020-12-31,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2021-01-01,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2021-01-02,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2021-01-03,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,8649,8649,0,0
Chile,2021-01-04,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,9054,9054,0,0
Chile,2021-01-05,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10497,10497,0,0
Chile,2021-01-06,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10702,10702,0,0
Chile,2021-01-07,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10702,10702,0,0
Chile,2021-01-08,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10703,10703,0,0
Chile,2021-01-09,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10703,10703,0,0
Chile,2021-01-10,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10704,10704,0,0
Chile,2021-01-11,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10704,10704,0,0
Chile,2021-01-12,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,10704,10704,0,0
Chile,2021-01-13,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,11737,10705,1032,0
Chile,2021-01-14,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,18654,12825,5829,0
Chile,2021-01-15,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,22085,13781,8304,0
Chile,2021-01-16,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,22175,13804,8371,0
Chile,2021-01-17,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,22175,13804,8371,0
Chile,2021-01-18,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,33226,24855,8371,0
Chile,2021-01-19,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,52593,44221,8372,0
Chile,2021-01-20,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,61902,53530,8372,0
Chile,2021-01-21,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,64958,56586,8372,0
Chile,2021-01-22,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,65373,56997,8376,0
Chile,2021-01-23,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,65373,56997,8376,0
Chile,2021-01-24,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,65373,56997,8376,0
Chile,2021-01-25,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,66793,57014,9779,0
Chile,2021-01-26,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67407,57033,10374,0
Chile,2021-01-27,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67442,57034,10408,0
Chile,2021-01-28,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67442,57034,10408,0
Chile,2021-01-29,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67447,57034,10413,0
Chile,2021-01-30,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67448,57035,10413,0
Chile,2021-01-31,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67449,57035,10414,0
Chile,2021-02-01,Pfizer/BioNTech,https://github.com/MinCiencia/Datos-COVID19,67450,57036,10414,0
Chile,2021-02-02,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,80645,70225,10420,0
Chile,2021-02-03,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,251038,240618,10420,0
Chile,2021-02-04,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,427204,414676,12528,0
Chile,2021-02-05,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,596722,583524,13198,0
Chile,2021-02-06,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,624582,611379,13203,0
Chile,2021-02-07,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,633223,620018,13205,0
Chile,2021-02-08,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,866530,841542,24988,0
Chile,2021-02-09,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,1128443,1084066,44377,0
Chile,2021-02-10,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,1409256,1356531,52725,0
Chile,2021-02-11,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,1663560,1607946,55614,0
Chile,2021-02-12,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,1893060,1837236,55824,0
Chile,2021-02-13,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,1922624,1866767,55857,0
Chile,2021-02-14,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,1927092,1871235,55857,0
Chile,2021-02-15,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2192994,2137137,55857,0
Chile,2021-02-16,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2413095,2357226,55869,0
Chile,2021-02-17,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2601147,2545278,55869,0
Chile,2021-02-18,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2756436,2700566,55870,0
Chile,2021-02-19,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2898588,2842717,55871,0
Chile,2021-02-20,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2908229,2852358,55871,0
Chile,2021-02-21,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,2909391,2853520,55871,0
Chile,2021-02-22,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,3017534,2961641,55893,0
Chile,2021-02-23,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,3111796,3055863,55933,0
Chile,2021-02-24,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,3198086,3141979,56107,0
Chile,2021-02-25,"Pfizer/BioNTech, Sinovac",https://github.com/MinCiencia/Datos-COVID19,3284178,3227926,56252,0
