location,date,vaccine,total_vaccinations
Chile,2020-12-24,Pfizer/BioNTech,420.0
Chile,2020-12-25,Pfizer/BioNTech,5199.0
Chile,2020-12-26,Pfizer/BioNTech,8339.0
Chile,2020-12-27,Pfizer/BioNTech,8648.0
Chile,2020-12-28,Pfizer/BioNTech,8648.0
Chile,2020-12-29,Pfizer/BioNTech,8648.0
Chile,2020-12-30,Pfizer/BioNTech,8648.0
Chile,2020-12-31,Pfizer/BioNTech,8648.0
Chile,2021-01-01,Pfizer/BioNTech,8648.0
Chile,2021-01-02,Pfizer/BioNTech,8648.0
Chile,2021-01-03,Pfizer/BioNTech,8648.0
Chile,2021-01-04,Pfizer/BioNTech,9053.0
Chile,2021-01-05,Pfizer/BioNTech,10496.0
Chile,2021-01-06,Pfizer/BioNTech,10701.0
Chile,2021-01-07,Pfizer/BioNTech,10701.0
Chile,2021-01-08,Pfizer/BioNTech,10702.0
Chile,2021-01-09,Pfizer/BioNTech,10702.0
Chile,2021-01-10,Pfizer/BioNTech,10703.0
Chile,2021-01-11,Pfizer/BioNTech,10703.0
Chile,2021-01-12,Pfizer/BioNTech,10703.0
Chile,2021-01-13,Pfizer/BioNTech,11736.0
Chile,2021-01-14,Pfizer/BioNTech,18653.0
Chile,2021-01-15,Pfizer/BioNTech,22084.0
Chile,2021-01-16,Pfizer/BioNTech,22174.0
Chile,2021-01-17,Pfizer/BioNTech,22174.0
Chile,2021-01-18,Pfizer/BioNTech,33225.0
Chile,2021-01-19,Pfizer/BioNTech,52592.0
Chile,2021-01-20,Pfizer/BioNTech,61901.0
Chile,2021-01-21,Pfizer/BioNTech,64957.0
Chile,2021-01-22,Pfizer/BioNTech,65372.0
Chile,2021-01-23,Pfizer/BioNTech,65372.0
Chile,2021-01-24,Pfizer/BioNTech,65372.0
Chile,2021-01-25,Pfizer/BioNTech,66792.0
Chile,2021-01-26,Pfizer/BioNTech,67406.0
Chile,2021-01-27,Pfizer/BioNTech,67441.0
Chile,2021-01-28,Pfizer/BioNTech,67441.0
Chile,2021-01-29,Pfizer/BioNTech,67446.0
Chile,2021-01-30,Pfizer/BioNTech,67447.0
Chile,2021-01-31,Pfizer/BioNTech,67448.0
Chile,2021-02-01,Pfizer/BioNTech,67449.0
Chile,2021-02-02,Pfizer/BioNTech,67456.0
Chile,2021-02-02,Sinovac,13189.0
Chile,2021-02-03,Pfizer/BioNTech,67459.0
Chile,2021-02-03,Sinovac,183576.0
Chile,2021-02-04,Pfizer/BioNTech,69589.0
Chile,2021-02-04,Sinovac,357613.0
Chile,2021-02-05,Pfizer/BioNTech,70278.0
Chile,2021-02-05,Sinovac,526440.0
Chile,2021-02-06,Pfizer/BioNTech,70284.0
Chile,2021-02-06,Sinovac,554294.0
