location,date,vaccine,total_vaccinations
Ireland,2021-01-01,Pfizer/BioNTech,0
Ireland,2021-01-08,Johnson&Johnson,8
Ireland,2021-01-08,Moderna,74
Ireland,2021-01-08,Oxford/AstraZeneca,191
Ireland,2021-01-08,Pfizer/BioNTech,53458
Ireland,2021-01-15,Moderna,2007
Ireland,2021-01-15,Oxford/AstraZeneca,223
Ireland,2021-01-15,Pfizer/BioNTech,100598
Ireland,2021-01-22,Moderna,2031
Ireland,2021-01-22,Oxford/AstraZeneca,284
Ireland,2021-01-22,Pfizer/BioNTech,150755
Ireland,2021-01-29,Moderna,2049
Ireland,2021-01-29,Oxford/AstraZeneca,368
Ireland,2021-01-29,Pfizer/BioNTech,204859
Ireland,2021-02-05,Johnson&Johnson,9
Ireland,2021-02-05,Moderna,2087
Ireland,2021-02-05,Oxford/AstraZeneca,498
Ireland,2021-02-05,Pfizer/BioNTech,258385
Ireland,2021-02-12,Johnson&Johnson,10
Ireland,2021-02-12,Moderna,4061
Ireland,2021-02-12,Oxford/AstraZeneca,18190
Ireland,2021-02-12,Pfizer/BioNTech,272115
Ireland,2021-02-19,Johnson&Johnson,15
Ireland,2021-02-19,Moderna,5287
Ireland,2021-02-19,Oxford/AstraZeneca,38878
Ireland,2021-02-19,Pfizer/BioNTech,336178
Ireland,2021-02-26,Johnson&Johnson,22
Ireland,2021-02-26,Moderna,9771
Ireland,2021-02-26,Oxford/AstraZeneca,72683
Ireland,2021-02-26,Pfizer/BioNTech,387035
Ireland,2021-03-05,Johnson&Johnson,34
Ireland,2021-03-05,Moderna,17153
Ireland,2021-03-05,Oxford/AstraZeneca,100479
Ireland,2021-03-05,Pfizer/BioNTech,439485
Ireland,2021-03-12,Johnson&Johnson,46
Ireland,2021-03-12,Moderna,21224
Ireland,2021-03-12,Oxford/AstraZeneca,133726
Ireland,2021-03-12,Pfizer/BioNTech,492655
Ireland,2021-03-19,Johnson&Johnson,59
Ireland,2021-03-19,Moderna,23008
Ireland,2021-03-19,Oxford/AstraZeneca,137405
Ireland,2021-03-19,Pfizer/BioNTech,555383
Ireland,2021-03-26,Johnson&Johnson,66
Ireland,2021-03-26,Moderna,30995
Ireland,2021-03-26,Oxford/AstraZeneca,175514
Ireland,2021-03-26,Pfizer/BioNTech,642137
Ireland,2021-04-02,Johnson&Johnson,85
Ireland,2021-04-02,Moderna,43736
Ireland,2021-04-02,Oxford/AstraZeneca,210766
Ireland,2021-04-02,Pfizer/BioNTech,734719
Ireland,2021-04-09,Johnson&Johnson,133
Ireland,2021-04-09,Moderna,52186
Ireland,2021-04-09,Oxford/AstraZeneca,242453
Ireland,2021-04-09,Pfizer/BioNTech,826029
Ireland,2021-04-16,Johnson&Johnson,145
Ireland,2021-04-16,Moderna,57117
Ireland,2021-04-16,Oxford/AstraZeneca,251192
Ireland,2021-04-16,Pfizer/BioNTech,966929
Ireland,2021-04-23,Johnson&Johnson,150
Ireland,2021-04-23,Moderna,70535
