location,date,vaccine,total_vaccinations
Nepal,2022-02-19,Johnson&Johnson,3005246
Nepal,2022-02-20,Johnson&Johnson,3012420
Nepal,2022-02-21,Johnson&Johnson,3023155
Nepal,2022-02-22,Johnson&Johnson,3039914
Nepal,2022-02-23,Johnson&Johnson,3057989
Nepal,2022-02-24,Johnson&Johnson,3068410
Nepal,2022-02-25,Johnson&Johnson,3082971
Nepal,2022-02-26,Johnson&Johnson,3091275
Nepal,2022-02-27,Johnson&Johnson,3098185
Nepal,2022-02-28,Johnson&Johnson,3117996
Nepal,2022-03-01,Johnson&Johnson,3133321
Nepal,2022-03-02,Johnson&Johnson,3137191
Nepal,2022-03-04,Johnson&Johnson,3146607
Nepal,2022-03-05,Johnson&Johnson,3160635
Nepal,2022-02-19,Moderna,5150063
Nepal,2022-02-20,Moderna,5156975
Nepal,2022-02-21,Moderna,5174590
Nepal,2022-02-22,Moderna,5194429
Nepal,2022-02-23,Moderna,4542898
Nepal,2022-02-24,Moderna,4568889
Nepal,2022-02-25,Moderna,4577019
Nepal,2022-02-26,Moderna,4609679
Nepal,2022-02-27,Moderna,4624778
Nepal,2022-02-28,Moderna,4643976
Nepal,2022-03-01,Moderna,4663614
Nepal,2022-03-02,Moderna,4673074
Nepal,2022-03-04,Moderna,4721773
Nepal,2022-03-05,Moderna,4830858
Nepal,2022-02-19,Oxford/AstraZeneca,9247554
Nepal,2022-02-20,Oxford/AstraZeneca,9261214
Nepal,2022-02-21,Oxford/AstraZeneca,10080883
Nepal,2022-02-22,Oxford/AstraZeneca,9382040
Nepal,2022-02-23,Oxford/AstraZeneca,9442979
Nepal,2022-02-24,Oxford/AstraZeneca,9494011
Nepal,2022-02-25,Oxford/AstraZeneca,9536195
Nepal,2022-02-26,Oxford/AstraZeneca,9582021
Nepal,2022-02-27,Oxford/AstraZeneca,9604902
Nepal,2022-02-28,Oxford/AstraZeneca,9659688
Nepal,2022-03-01,Oxford/AstraZeneca,9721696
Nepal,2022-03-02,Oxford/AstraZeneca,9738553
Nepal,2022-03-04,Oxford/AstraZeneca,9787044
Nepal,2022-03-05,Oxford/AstraZeneca,9829832
Nepal,2022-02-19,Pfizer/BioNTech,485819
Nepal,2022-02-20,Pfizer/BioNTech,485819
Nepal,2022-02-21,Pfizer/BioNTech,485819
Nepal,2022-02-22,Pfizer/BioNTech,486784
Nepal,2022-02-23,Pfizer/BioNTech,487210
Nepal,2022-02-24,Pfizer/BioNTech,487404
Nepal,2022-02-25,Pfizer/BioNTech,488013
Nepal,2022-02-26,Pfizer/BioNTech,488283
Nepal,2022-02-27,Pfizer/BioNTech,488291
Nepal,2022-02-28,Pfizer/BioNTech,488835
Nepal,2022-03-01,Pfizer/BioNTech,489065
Nepal,2022-03-02,Pfizer/BioNTech,489374
Nepal,2022-03-04,Pfizer/BioNTech,490849
Nepal,2022-03-05,Pfizer/BioNTech,559413
Nepal,2022-02-19,Sinopharm/Beijing,18974500
Nepal,2022-02-20,Sinopharm/Beijing,18980008
Nepal,2022-02-21,Sinopharm/Beijing,19005427
Nepal,2022-02-22,Sinopharm/Beijing,19018029
Nepal,2022-02-23,Sinopharm/Beijing,19045148
Nepal,2022-02-24,Sinopharm/Beijing,19072916
Nepal,2022-02-25,Sinopharm/Beijing,19129925
Nepal,2022-02-26,Sinopharm/Beijing,19171984
Nepal,2022-02-27,Sinopharm/Beijing,19168455
Nepal,2022-02-28,Sinopharm/Beijing,19215237
Nepal,2022-03-01,Sinopharm/Beijing,19226176
Nepal,2022-03-02,Sinopharm/Beijing,19231468
Nepal,2022-03-04,Sinopharm/Beijing,19285367
Nepal,2022-03-05,Sinopharm/Beijing,19302152
