location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31584
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,97
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116958
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,339
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,214714
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4336
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,259877
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,6049
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,356295
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10176
Austria,2021-02-12,Oxford/AstraZeneca,10810
Austria,2021-02-12,Pfizer/BioNTech,458519
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14348
Austria,2021-02-19,Oxford/AstraZeneca,43662
Austria,2021-02-19,Pfizer/BioNTech,524722
Austria,2021-02-26,Johnson&Johnson,1
Austria,2021-02-26,Moderna,22827
Austria,2021-02-26,Oxford/AstraZeneca,101646
Austria,2021-02-26,Pfizer/BioNTech,586379
Austria,2021-03-05,Johnson&Johnson,4
Austria,2021-03-05,Moderna,32220
Austria,2021-03-05,Oxford/AstraZeneca,156810
Austria,2021-03-05,Pfizer/BioNTech,691468
Austria,2021-03-12,Johnson&Johnson,6
Austria,2021-03-12,Moderna,47660
Austria,2021-03-12,Oxford/AstraZeneca,235913
Austria,2021-03-12,Pfizer/BioNTech,855286
Austria,2021-03-19,Johnson&Johnson,33
Austria,2021-03-19,Moderna,79546
Austria,2021-03-19,Oxford/AstraZeneca,309474
Austria,2021-03-19,Pfizer/BioNTech,988724
Austria,2021-03-26,Johnson&Johnson,58
Austria,2021-03-26,Moderna,105093
Austria,2021-03-26,Oxford/AstraZeneca,385275
Austria,2021-03-26,Pfizer/BioNTech,1136543
Austria,2021-04-02,Johnson&Johnson,104
Austria,2021-04-02,Moderna,141701
Austria,2021-04-02,Oxford/AstraZeneca,424066
Austria,2021-04-02,Pfizer/BioNTech,1285986
Austria,2021-04-09,Johnson&Johnson,192
Austria,2021-04-09,Moderna,181516
Austria,2021-04-09,Oxford/AstraZeneca,514782
Austria,2021-04-09,Pfizer/BioNTech,1509492
Austria,2021-04-16,Johnson&Johnson,213
Austria,2021-04-16,Moderna,224368
Austria,2021-04-16,Oxford/AstraZeneca,611089
Austria,2021-04-16,Pfizer/BioNTech,1745884
Austria,2021-04-23,Johnson&Johnson,223
Austria,2021-04-23,Moderna,262084
Austria,2021-04-23,Oxford/AstraZeneca,660322
Austria,2021-04-23,Pfizer/BioNTech,2012099
Austria,2021-04-30,Johnson&Johnson,530
Austria,2021-04-30,Moderna,301430
Austria,2021-04-30,Oxford/AstraZeneca,703005
Austria,2021-04-30,Pfizer/BioNTech,2288446
Austria,2021-05-07,Johnson&Johnson,6758
Austria,2021-05-07,Moderna,351195
Austria,2021-05-07,Oxford/AstraZeneca,766358
Austria,2021-05-07,Pfizer/BioNTech,2622441
Austria,2021-05-14,Johnson&Johnson,13958
Austria,2021-05-14,Moderna,401769
Austria,2021-05-14,Oxford/AstraZeneca,830992
Austria,2021-05-14,Pfizer/BioNTech,2925811
Austria,2021-05-21,Johnson&Johnson,26450
Austria,2021-05-21,Moderna,470414
Austria,2021-05-21,Oxford/AstraZeneca,909078
Austria,2021-05-21,Pfizer/BioNTech,3308383
Austria,2021-05-28,Johnson&Johnson,38943
Austria,2021-05-28,Moderna,524583
Austria,2021-05-28,Oxford/AstraZeneca,992064
Austria,2021-05-28,Pfizer/BioNTech,3648182
Austria,2021-06-04,Johnson&Johnson,59973
Austria,2021-06-04,Moderna,580671
Austria,2021-06-04,Oxford/AstraZeneca,1060674
Austria,2021-06-04,Pfizer/BioNTech,4078864
Austria,2021-06-11,Johnson&Johnson,82078
Austria,2021-06-11,Moderna,644417
Austria,2021-06-11,Oxford/AstraZeneca,1155939
Austria,2021-06-11,Pfizer/BioNTech,4522678
Austria,2021-06-18,Johnson&Johnson,97396
Austria,2021-06-18,Moderna,694748
Austria,2021-06-18,Oxford/AstraZeneca,1207914
Austria,2021-06-18,Pfizer/BioNTech,4983354
Austria,2021-06-25,Johnson&Johnson,106273
Austria,2021-06-25,Moderna,751212
Austria,2021-06-25,Oxford/AstraZeneca,1281499
Austria,2021-06-25,Pfizer/BioNTech,5434397
Austria,2021-07-02,Johnson&Johnson,132010
Austria,2021-07-02,Moderna,811945
Austria,2021-07-02,Oxford/AstraZeneca,1388796
Austria,2021-07-02,Pfizer/BioNTech,5831461
Austria,2021-07-09,Johnson&Johnson,156446
Austria,2021-07-09,Moderna,863076
Austria,2021-07-09,Oxford/AstraZeneca,1453179
Austria,2021-07-09,Pfizer/BioNTech,6166210
Austria,2021-07-16,Johnson&Johnson,176093
Austria,2021-07-16,Moderna,908390
Austria,2021-07-16,Oxford/AstraZeneca,1501668
Austria,2021-07-16,Pfizer/BioNTech,6445280
Austria,2021-07-23,Johnson&Johnson,193017
Austria,2021-07-23,Moderna,955254
Austria,2021-07-23,Oxford/AstraZeneca,1528618
Austria,2021-07-23,Pfizer/BioNTech,6699797
Austria,2021-07-30,Johnson&Johnson,205440
Austria,2021-07-30,Moderna,974491
Austria,2021-07-30,Oxford/AstraZeneca,1553494
Austria,2021-07-30,Pfizer/BioNTech,6915108
Austria,2021-08-06,Johnson&Johnson,220986
Austria,2021-08-06,Moderna,992557
Austria,2021-08-06,Oxford/AstraZeneca,1567827
Austria,2021-08-06,Pfizer/BioNTech,7096063
Austria,2021-08-13,Johnson&Johnson,231597
Austria,2021-08-13,Moderna,1002239
