location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Finland,2021-01-01,25,49,0.0,0.0,0.0
Finland,2021-01-01,50,59,0.0,0.0,0.0
Finland,2021-01-01,80,,0.0,0.0,0.0
Finland,2021-01-08,15,17,0.0,0.0,0.0
Finland,2021-01-08,18,24,0.17,0.0,0.0
Finland,2021-01-08,25,49,0.71,0.0,0.0
Finland,2021-01-08,50,59,0.65,0.0,0.0
Finland,2021-01-08,60,69,0.28,0.0,0.0
Finland,2021-01-08,70,79,0.07,0.0,0.0
Finland,2021-01-08,80,,0.35,0.0,0.0
Finland,2021-01-15,15,17,0.02,0.0,0.0
Finland,2021-01-15,18,24,0.47,0.0,0.0
Finland,2021-01-15,25,49,1.66,0.0,0.0
Finland,2021-01-15,50,59,1.77,0.0,0.0
Finland,2021-01-15,60,69,0.89,0.0,0.0
Finland,2021-01-15,70,79,0.5,0.0,0.0
Finland,2021-01-15,80,,2.82,0.0,0.0
Finland,2021-01-22,15,17,0.06,0.0,0.0
Finland,2021-01-22,18,24,0.89,0.03,0.0
Finland,2021-01-22,25,49,2.49,0.18,0.0
Finland,2021-01-22,50,59,2.96,0.16,0.0
Finland,2021-01-22,60,69,1.66,0.06,0.0
Finland,2021-01-22,70,79,1.4,0.0,0.0
Finland,2021-01-22,80,,8.3,0.0,0.0
Finland,2021-01-29,15,17,0.09,0.0,0.0
Finland,2021-01-29,18,24,1.19,0.15,0.0
Finland,2021-01-29,25,49,2.98,0.66,0.0
Finland,2021-01-29,50,59,3.67,0.61,0.0
Finland,2021-01-29,60,69,2.15,0.27,0.0
Finland,2021-01-29,70,79,2.14,0.05,0.0
Finland,2021-01-29,80,,14.2,0.27,0.0
Finland,2021-02-05,15,17,0.1,0.01,0.0
Finland,2021-02-05,18,24,1.32,0.4,0.0
Finland,2021-02-05,25,49,3.2,1.51,0.0
Finland,2021-02-05,50,59,3.96,1.58,0.0
Finland,2021-02-05,60,69,2.37,0.79,0.0
Finland,2021-02-05,70,79,2.49,0.35,0.0
Finland,2021-02-05,80,,18.12,1.93,0.0
Finland,2021-02-12,15,17,0.11,0.03,0.0
Finland,2021-02-12,18,24,1.44,0.54,0.0
Finland,2021-02-12,25,49,3.4,1.84,0.0
Finland,2021-02-12,50,59,4.27,2.04,0.0
Finland,2021-02-12,60,69,2.89,1.07,0.0
Finland,2021-02-12,70,79,3.26,0.57,0.0
Finland,2021-02-12,80,,26.1,3.13,0.0
Finland,2021-02-19,15,17,0.12,0.03,0.0
Finland,2021-02-19,18,24,1.61,0.58,0.0
Finland,2021-02-19,25,49,3.74,1.93,0.0
Finland,2021-02-19,50,59,4.92,2.17,0.0
Finland,2021-02-19,60,69,4.64,1.15,0.0
Finland,2021-02-19,70,79,4.88,0.67,0.0
Finland,2021-02-19,80,,40.46,3.92,0.0
Finland,2021-02-26,15,17,0.13,0.03,0.0
Finland,2021-02-26,18,24,1.74,0.61,0.0
Finland,2021-02-26,25,49,4.03,2.0,0.0
Finland,2021-02-26,50,59,5.94,2.26,0.0
Finland,2021-02-26,60,69,7.55,1.22,0.0
Finland,2021-02-26,70,79,7.4,0.78,0.0
Finland,2021-02-26,80,,55.1,5.59,0.0
Finland,2021-03-05,15,17,0.15,0.04,0.0
Finland,2021-03-05,18,24,1.9,0.62,0.0
Finland,2021-03-05,25,49,4.36,2.02,0.0
Finland,2021-03-05,50,59,7.46,2.28,0.0
Finland,2021-03-05,60,69,11.0,1.23,0.0
Finland,2021-03-05,70,79,12.19,0.82,0.0
Finland,2021-03-05,80,,68.25,6.33,0.0
Finland,2021-03-12,15,17,0.18,0.04,0.0
Finland,2021-03-12,18,24,2.08,0.63,0.0
Finland,2021-03-12,25,49,4.87,2.03,0.0
Finland,2021-03-12,50,59,9.44,2.3,0.0
Finland,2021-03-12,60,69,14.14,1.24,0.0
Finland,2021-03-12,70,79,20.25,0.83,0.0
Finland,2021-03-12,80,,78.07,6.44,0.0
Finland,2021-03-19,15,17,0.22,0.04,0.0
Finland,2021-03-19,18,24,2.27,0.64,0.0
Finland,2021-03-19,25,49,5.34,2.05,0.0
Finland,2021-03-19,50,59,11.0,2.32,0.0
Finland,2021-03-19,60,69,16.78,1.26,0.0
Finland,2021-03-19,70,79,32.64,0.85,0.0
Finland,2021-03-19,80,,83.39,6.56,0.0
Finland,2021-03-26,15,17,0.24,0.04,0.0
Finland,2021-03-26,18,24,2.32,0.65,0.0
Finland,2021-03-26,25,49,5.44,2.08,0.0
Finland,2021-03-26,50,59,11.26,2.35,0.0
Finland,2021-03-26,60,69,17.7,1.28,0.0
Finland,2021-03-26,70,79,48.46,0.86,0.0
Finland,2021-03-26,80,,86.34,6.6,0.0
Finland,2021-04-02,15,17,0.29,0.04,0.0
Finland,2021-04-02,18,24,2.44,0.65,0.0
Finland,2021-04-02,25,49,5.69,2.1,0.0
Finland,2021-04-02,50,59,11.76,2.38,0.0
Finland,2021-04-02,60,69,20.08,1.3,0.0
Finland,2021-04-02,70,79,66.27,0.89,0.0
Finland,2021-04-02,80,,88.0,6.74,0.0
Finland,2021-04-09,15,17,0.36,0.04,0.0
Finland,2021-04-09,18,24,2.81,0.71,0.0
Finland,2021-04-09,25,49,6.53,2.19,0.0
Finland,2021-04-09,50,59,13.49,2.52,0.0
Finland,2021-04-09,60,69,26.62,1.4,0.0
Finland,2021-04-09,70,79,81.63,1.03,0.0
Finland,2021-04-09,80,,89.05,7.46,0.0
Finland,2021-04-16,15,17,0.55,0.06,0.0
Finland,2021-04-16,18,24,3.72,0.93,0.0
Finland,2021-04-16,25,49,8.43,2.61,0.0
Finland,2021-04-16,50,59,17.27,3.16,0.0
Finland,2021-04-16,60,69,39.31,1.85,0.0
