location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Ireland,2021-01-08,10,14,0.0,0.0,0.0
Ireland,2021-01-08,15,17,0.0,0.0,0.0
Ireland,2021-01-08,18,24,0.06,0.02,0.01
Ireland,2021-01-08,25,49,0.16,0.01,0.0
Ireland,2021-01-08,5,9,0.0,0.0,0.0
Ireland,2021-01-08,50,59,0.13,0.0,0.0
Ireland,2021-01-08,60,69,0.06,0.0,0.0
Ireland,2021-01-08,70,79,0.01,0.0,0.0
Ireland,2021-01-08,80,,0.03,0.01,0.0
Ireland,2021-01-15,10,14,0.0,0.0,0.0
Ireland,2021-01-15,15,17,0.0,0.0,0.0
Ireland,2021-01-15,18,24,0.64,0.02,0.01
Ireland,2021-01-15,25,49,1.85,0.01,0.0
Ireland,2021-01-15,50,59,1.91,0.0,0.0
Ireland,2021-01-15,60,69,0.96,0.0,0.0
Ireland,2021-01-15,70,79,0.14,0.0,0.0
Ireland,2021-01-15,80,,0.51,0.01,0.0
Ireland,2021-01-22,10,14,0.0,0.0,0.0
Ireland,2021-01-22,15,17,0.01,0.0,0.0
Ireland,2021-01-22,18,24,1.17,0.02,0.01
Ireland,2021-01-22,25,49,3.15,0.01,0.0
Ireland,2021-01-22,5,9,0.0,0.0,0.0
Ireland,2021-01-22,50,59,3.62,0.0,0.0
Ireland,2021-01-22,60,69,2.14,0.0,0.0
Ireland,2021-01-22,70,79,0.81,0.0,0.0
Ireland,2021-01-22,80,,3.93,0.01,0.0
Ireland,2021-01-29,15,17,0.02,0.0,0.0
Ireland,2021-01-29,18,24,1.64,0.06,0.01
Ireland,2021-01-29,25,49,4.11,0.15,0.01
Ireland,2021-01-29,50,59,4.93,0.13,0.0
Ireland,2021-01-29,60,69,3.2,0.06,0.0
Ireland,2021-01-29,70,79,1.93,0.01,0.0
Ireland,2021-01-29,80,,10.2,0.02,0.0
Ireland,2021-02-05,10,14,0.0,0.0,0.0
Ireland,2021-02-05,15,17,0.02,0.0,0.0
Ireland,2021-02-05,18,24,1.72,0.62,0.01
Ireland,2021-02-05,25,49,4.31,1.77,0.01
Ireland,2021-02-05,50,59,5.15,1.84,0.0
Ireland,2021-02-05,60,69,3.48,0.94,0.0
Ireland,2021-02-05,70,79,2.22,0.13,0.0
Ireland,2021-02-05,80,,10.4,0.44,0.0
Ireland,2021-02-12,10,14,0.0,0.0,0.0
Ireland,2021-02-12,15,17,0.02,0.01,0.0
Ireland,2021-02-12,18,24,1.86,1.1,0.01
Ireland,2021-02-12,25,49,4.59,2.96,0.01
Ireland,2021-02-12,50,59,5.46,3.41,0.0
Ireland,2021-02-12,60,69,3.68,2.0,0.0
Ireland,2021-02-12,70,79,2.29,0.71,0.0
Ireland,2021-02-12,80,,10.59,3.46,0.0
Ireland,2021-02-19,15,17,0.03,0.01,0.0
Ireland,2021-02-19,18,24,2.19,1.14,0.01
Ireland,2021-02-19,25,49,5.35,3.12,0.01
Ireland,2021-02-19,50,59,6.5,3.59,0.0
Ireland,2021-02-19,60,69,4.45,2.11,0.0
Ireland,2021-02-19,70,79,2.75,0.75,0.0
Ireland,2021-02-19,80,,11.83,3.51,0.0
Ireland,2021-02-26,15,17,0.03,0.02,0.0
Ireland,2021-02-26,18,24,2.74,1.6,0.01
Ireland,2021-02-26,25,49,6.12,4.06,0.01
Ireland,2021-02-26,50,59,7.46,4.84,0.01
Ireland,2021-02-26,60,69,5.1,3.13,0.0
Ireland,2021-02-26,70,79,3.02,1.77,0.0
Ireland,2021-02-26,80,,21.34,9.17,0.0
Ireland,2021-03-05,0,4,0.0,0.0,0.0
Ireland,2021-03-05,15,17,0.03,0.02,0.0
Ireland,2021-03-05,18,24,3.49,1.7,0.01
Ireland,2021-03-05,25,49,7.27,4.28,0.01
Ireland,2021-03-05,50,59,8.93,5.13,0.01
Ireland,2021-03-05,60,69,6.17,3.46,0.0
Ireland,2021-03-05,70,79,4.29,2.08,0.0
Ireland,2021-03-05,80,,43.59,9.57,0.0
Ireland,2021-03-12,15,17,0.03,0.02,0.0
Ireland,2021-03-12,18,24,4.06,1.82,0.01
Ireland,2021-03-12,25,49,8.16,4.51,0.01
Ireland,2021-03-12,50,59,10.06,5.41,0.01
Ireland,2021-03-12,60,69,7.17,3.64,0.0
Ireland,2021-03-12,70,79,7.16,2.18,0.0
