location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Sweden,2021-01-01,18,24,0.0,0.0,0.0
Sweden,2021-01-01,25,49,0.0,0.0,0.0
Sweden,2021-01-01,50,59,0.01,0.0,0.0
Sweden,2021-01-01,60,69,0.01,0.0,0.0
Sweden,2021-01-01,70,79,0.04,0.0,0.0
Sweden,2021-01-01,80,,0.3,0.0,0.0
Sweden,2021-01-08,18,24,0.07,0.0,0.0
Sweden,2021-01-08,25,49,0.16,0.0,0.0
Sweden,2021-01-08,50,59,0.34,0.0,0.0
Sweden,2021-01-08,60,69,0.37,0.0,0.0
Sweden,2021-01-08,70,79,0.89,0.0,0.0
Sweden,2021-01-08,80,,5.54,0.0,0.0
Sweden,2021-01-15,18,24,0.32,0.0,0.0
Sweden,2021-01-15,25,49,0.73,0.0,0.0
Sweden,2021-01-15,50,59,1.26,0.0,0.0
Sweden,2021-01-15,60,69,1.16,0.0,0.0
Sweden,2021-01-15,70,79,1.83,0.01,0.0
Sweden,2021-01-15,80,,10.79,0.06,0.0
Sweden,2021-01-22,18,24,0.79,0.01,0.0
Sweden,2021-01-22,25,49,1.65,0.03,0.0
Sweden,2021-01-22,50,59,2.67,0.06,0.0
Sweden,2021-01-22,60,69,2.36,0.08,0.0
Sweden,2021-01-22,70,79,2.94,0.21,0.0
Sweden,2021-01-22,80,,15.92,1.38,0.0
Sweden,2021-01-29,18,24,1.13,0.03,0.0
Sweden,2021-01-29,25,49,2.2,0.1,0.0
Sweden,2021-01-29,50,59,3.56,0.21,0.0
Sweden,2021-01-29,60,69,3.11,0.27,0.0
Sweden,2021-01-29,70,79,3.63,0.68,0.0
Sweden,2021-01-29,80,,18.99,4.22,0.0
Sweden,2021-02-05,18,24,1.32,0.19,0.0
Sweden,2021-02-05,25,49,2.51,0.46,0.0
Sweden,2021-02-05,50,59,4.06,0.83,0.0
Sweden,2021-02-05,60,69,3.59,0.81,0.0
Sweden,2021-02-05,70,79,4.22,1.41,0.0
Sweden,2021-02-05,80,,21.53,8.4,0.0
Sweden,2021-02-12,18,24,1.53,0.42,0.0
Sweden,2021-02-12,25,49,2.81,0.95,0.0
Sweden,2021-02-12,50,59,4.53,1.63,0.0
Sweden,2021-02-12,60,69,4.03,1.56,0.0
Sweden,2021-02-12,70,79,4.87,2.33,0.0
Sweden,2021-02-12,80,,24.67,13.1,0.0
Sweden,2021-02-19,15,17,0.0,0.0,0.0
Sweden,2021-02-19,18,24,1.96,0.84,0.0
Sweden,2021-02-19,25,49,3.36,1.73,0.0
Sweden,2021-02-19,50,59,5.34,2.87,0.0
Sweden,2021-02-19,60,69,4.71,2.57,0.0
Sweden,2021-02-19,70,79,5.82,3.17,0.0
Sweden,2021-02-19,80,,28.56,16.75,0.0
Sweden,2021-02-26,15,17,0.0,0.0,0.0
Sweden,2021-02-26,18,24,2.51,1.14,0.0
Sweden,2021-02-26,25,49,4.09,2.21,0.0
Sweden,2021-02-26,50,59,6.4,3.64,0.0
Sweden,2021-02-26,60,69,5.65,3.22,0.0
Sweden,2021-02-26,70,79,7.08,3.75,0.0
Sweden,2021-02-26,80,,35.25,19.21,0.0
Sweden,2021-03-05,15,17,0.01,0.0,0.0
Sweden,2021-03-05,18,24,3.24,1.28,0.0
Sweden,2021-03-05,25,49,5.32,2.45,0.0
Sweden,2021-03-05,50,59,8.02,4.03,0.0
Sweden,2021-03-05,60,69,7.01,3.62,0.0
Sweden,2021-03-05,70,79,8.77,4.32,0.0
Sweden,2021-03-05,80,,44.89,21.78,0.0
Sweden,2021-03-12,15,17,0.02,0.0,0.0
