location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovenia,2021-01-01,18,24,0.01,0.0,0.0
Slovenia,2021-01-01,25,49,0.07,0.0,0.0
Slovenia,2021-01-01,50,59,0.17,0.0,0.0
Slovenia,2021-01-01,60,69,0.2,0.0,0.0
Slovenia,2021-01-01,70,79,0.51,0.0,0.0
Slovenia,2021-01-01,80,,3.29,0.0,0.0
Slovenia,2021-01-08,0,17,0.0,0.0,0.0
Slovenia,2021-01-08,18,24,0.32,0.0,0.0
Slovenia,2021-01-08,25,49,1.61,0.0,0.0
Slovenia,2021-01-08,50,59,2.32,0.0,0.0
Slovenia,2021-01-08,60,69,1.34,0.0,0.0
Slovenia,2021-01-08,70,79,1.25,0.0,0.0
Slovenia,2021-01-08,80,,5.05,0.0,0.0
Slovenia,2021-01-15,0,17,0.0,0.0,0.0
Slovenia,2021-01-15,18,24,0.49,0.0,0.0
Slovenia,2021-01-15,25,49,2.03,0.01,0.0
Slovenia,2021-01-15,50,59,2.86,0.01,0.0
Slovenia,2021-01-15,60,69,1.69,0.01,0.0
Slovenia,2021-01-15,70,79,1.75,0.0,0.0
Slovenia,2021-01-15,80,,15.73,0.01,0.0
Slovenia,2021-01-22,0,17,0.0,0.0,0.0
Slovenia,2021-01-22,18,24,0.54,0.05,0.0
Slovenia,2021-01-22,25,49,2.2,0.34,0.0
Slovenia,2021-01-22,50,59,3.09,0.62,0.0
Slovenia,2021-01-22,60,69,1.77,0.43,0.0
Slovenia,2021-01-22,70,79,1.86,0.67,0.0
Slovenia,2021-01-22,80,,17.55,3.64,0.0
Slovenia,2021-01-29,0,17,0.0,0.0,0.0
Slovenia,2021-01-29,18,24,0.59,0.28,0.0
Slovenia,2021-01-29,25,49,2.28,1.46,0.0
Slovenia,2021-01-29,50,59,3.17,2.13,0.0
Slovenia,2021-01-29,60,69,1.82,1.23,0.0
Slovenia,2021-01-29,70,79,1.9,1.11,0.0
Slovenia,2021-01-29,80,,17.87,4.23,0.0
Slovenia,2021-02-05,0,17,0.0,0.0,0.0
Slovenia,2021-02-05,18,24,0.61,0.45,0.0
