location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Hong Kong,2021-02-22,30,39,0.0,0.0,0.0
Hong Kong,2021-02-22,40,49,0.0,0.0,0.0
Hong Kong,2021-02-22,50,59,0.0,0.0,0.0
Hong Kong,2021-02-22,60,69,0.0,0.0,0.0
Hong Kong,2021-02-22,70,79,0.0,0.0,0.0
Hong Kong,2021-02-23,0,19,0.0,0.0,0.0
Hong Kong,2021-02-23,20,29,0.0,0.0,0.0
Hong Kong,2021-02-23,30,39,0.0,0.0,0.0
Hong Kong,2021-02-23,40,49,0.01,0.0,0.0
Hong Kong,2021-02-23,50,59,0.01,0.0,0.0
Hong Kong,2021-02-23,60,69,0.02,0.0,0.0
Hong Kong,2021-02-23,70,79,0.01,0.0,0.0
Hong Kong,2021-02-23,80,,0.0,0.0,0.0
Hong Kong,2021-02-26,0,19,0.0,0.0,0.0
Hong Kong,2021-02-26,20,29,0.01,0.0,0.0
Hong Kong,2021-02-26,30,39,0.03,0.0,0.0
Hong Kong,2021-02-26,40,49,0.07,0.0,0.0
Hong Kong,2021-02-26,50,59,0.08,0.0,0.0
Hong Kong,2021-02-26,60,69,0.28,0.0,0.0
Hong Kong,2021-02-26,70,79,0.17,0.0,0.0
Hong Kong,2021-02-26,80,,0.08,0.0,0.0
Hong Kong,2021-02-27,0,19,0.0,0.0,0.0
Hong Kong,2021-02-27,20,29,0.04,0.0,0.0
Hong Kong,2021-02-27,30,39,0.07,0.0,0.0
Hong Kong,2021-02-27,40,49,0.19,0.0,0.0
Hong Kong,2021-02-27,50,59,0.2,0.0,0.0
Hong Kong,2021-02-27,60,69,0.49,0.0,0.0
Hong Kong,2021-02-27,70,79,0.36,0.0,0.0
Hong Kong,2021-02-27,80,,0.18,0.0,0.0
Hong Kong,2021-02-28,0,19,0.01,0.0,0.0
Hong Kong,2021-02-28,20,29,0.06,0.0,0.0
Hong Kong,2021-02-28,30,39,0.11,0.0,0.0
Hong Kong,2021-02-28,40,49,0.31,0.0,0.0
Hong Kong,2021-02-28,50,59,0.3,0.0,0.0
Hong Kong,2021-02-28,60,69,0.71,0.0,0.0
Hong Kong,2021-02-28,70,79,0.54,0.0,0.0
Hong Kong,2021-02-28,80,,0.26,0.0,0.0
Hong Kong,2021-03-01,0,19,0.01,0.0,0.0
Hong Kong,2021-03-01,20,29,0.07,0.0,0.0
Hong Kong,2021-03-01,30,39,0.14,0.0,0.0
Hong Kong,2021-03-01,40,49,0.39,0.0,0.0
Hong Kong,2021-03-01,50,59,0.38,0.0,0.0
Hong Kong,2021-03-01,60,69,0.99,0.0,0.0
Hong Kong,2021-03-01,70,79,0.7,0.0,0.0
Hong Kong,2021-03-01,80,,0.33,0.0,0.0
Hong Kong,2021-03-02,0,19,0.01,0.0,0.0
Hong Kong,2021-03-02,20,29,0.08,0.0,0.0
Hong Kong,2021-03-02,30,39,0.18,0.0,0.0
Hong Kong,2021-03-02,40,49,0.5,0.0,0.0
Hong Kong,2021-03-02,50,59,0.51,0.0,0.0
Hong Kong,2021-03-02,60,69,1.56,0.0,0.0
Hong Kong,2021-03-02,70,79,1.18,0.0,0.0
Hong Kong,2021-03-02,80,,0.55,0.0,0.0
Hong Kong,2021-03-03,0,19,0.01,0.0,0.0
Hong Kong,2021-03-03,20,29,0.1,0.0,0.0
Hong Kong,2021-03-03,30,39,0.22,0.0,0.0
Hong Kong,2021-03-03,40,49,0.61,0.0,0.0
Hong Kong,2021-03-03,50,59,0.64,0.0,0.0
Hong Kong,2021-03-03,60,69,2.03,0.0,0.0
Hong Kong,2021-03-03,70,79,1.6,0.0,0.0
Hong Kong,2021-03-03,80,,0.74,0.0,0.0
Hong Kong,2021-03-04,0,19,0.01,0.0,0.0
Hong Kong,2021-03-04,20,29,0.12,0.0,0.0
Hong Kong,2021-03-04,30,39,0.27,0.0,0.0
Hong Kong,2021-03-04,40,49,0.72,0.0,0.0
Hong Kong,2021-03-04,50,59,0.76,0.0,0.0
Hong Kong,2021-03-04,60,69,2.43,0.0,0.0
Hong Kong,2021-03-04,70,79,1.96,0.0,0.0
Hong Kong,2021-03-04,80,,0.89,0.0,0.0
Hong Kong,2021-03-05,0,19,0.01,0.0,0.0
Hong Kong,2021-03-05,20,29,0.14,0.0,0.0
Hong Kong,2021-03-05,30,39,0.31,0.0,0.0
Hong Kong,2021-03-05,40,49,0.83,0.0,0.0
Hong Kong,2021-03-05,50,59,0.89,0.0,0.0
Hong Kong,2021-03-05,60,69,2.82,0.0,0.0
Hong Kong,2021-03-05,70,79,2.32,0.0,0.0
Hong Kong,2021-03-05,80,,1.04,0.0,0.0
Hong Kong,2021-03-06,0,19,0.02,0.0,0.0
Hong Kong,2021-03-06,20,29,0.17,0.0,0.0
Hong Kong,2021-03-06,30,39,0.37,0.0,0.0
Hong Kong,2021-03-06,40,49,0.99,0.0,0.0
Hong Kong,2021-03-06,50,59,1.04,0.0,0.0
Hong Kong,2021-03-06,60,69,3.22,0.0,0.0
Hong Kong,2021-03-06,70,79,2.7,0.0,0.0
Hong Kong,2021-03-06,80,,1.21,0.0,0.0
Hong Kong,2021-03-07,0,19,0.02,0.0,0.0
Hong Kong,2021-03-07,20,29,0.21,0.0,0.0
Hong Kong,2021-03-07,30,39,0.43,0.0,0.0
