location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Estonia,2021-01-01,18,24,0.01,0.0,0.0
Estonia,2021-01-01,25,49,0.02,0.0,0.0
Estonia,2021-01-01,50,59,0.03,0.0,0.0
Estonia,2021-01-01,60,69,0.02,0.0,0.0
Estonia,2021-01-01,70,79,0.0,0.0,0.0
Estonia,2021-01-01,80,,0.0,0.0,0.0
Estonia,2021-01-08,18,24,0.39,0.02,0.0
Estonia,2021-01-08,25,49,1.06,0.03,0.0
Estonia,2021-01-08,50,59,1.54,0.03,0.0
Estonia,2021-01-08,60,69,1.33,0.02,0.0
Estonia,2021-01-08,70,79,0.62,0.0,0.0
Estonia,2021-01-08,80,,0.27,0.01,0.0
Estonia,2021-01-15,18,24,0.66,0.04,0.0
Estonia,2021-01-15,25,49,1.54,0.06,0.0
Estonia,2021-01-15,50,59,2.34,0.07,0.0
Estonia,2021-01-15,60,69,2.22,0.06,0.0
Estonia,2021-01-15,70,79,1.29,0.03,0.0
Estonia,2021-01-15,80,,1.72,0.13,0.0
Estonia,2021-01-22,18,24,0.77,0.1,0.0
Estonia,2021-01-22,25,49,1.79,0.3,0.0
Estonia,2021-01-22,50,59,2.86,0.44,0.01
Estonia,2021-01-22,60,69,2.79,0.36,0.0
Estonia,2021-01-22,70,79,1.92,0.19,0.0
Estonia,2021-01-22,80,,3.8,0.3,0.0
Estonia,2021-01-29,18,24,0.92,0.39,0.01
Estonia,2021-01-29,25,49,2.07,1.06,0.02
Estonia,2021-01-29,50,59,3.38,1.56,0.03
Estonia,2021-01-29,60,69,3.29,1.39,0.02
Estonia,2021-01-29,70,79,2.4,0.67,0.0
Estonia,2021-01-29,80,,4.98,0.53,0.0
Estonia,2021-02-05,18,24,1.13,0.66,0.03
Estonia,2021-02-05,25,49,2.47,1.55,0.04
Estonia,2021-02-05,50,59,4.03,2.41,0.05
Estonia,2021-02-05,60,69,3.95,2.29,0.05
Estonia,2021-02-05,70,79,3.39,1.37,0.03
Estonia,2021-02-05,80,,7.94,1.89,0.11
Estonia,2021-02-12,18,24,1.46,0.78,0.04
Estonia,2021-02-12,25,49,2.73,1.79,0.05
Estonia,2021-02-12,50,59,4.47,2.87,0.07
Estonia,2021-02-12,60,69,4.45,2.81,0.07
Estonia,2021-02-12,70,79,4.84,1.91,0.05
Estonia,2021-02-12,80,,15.19,3.6,0.19
Estonia,2021-02-19,18,24,1.71,0.94,0.04
Estonia,2021-02-19,25,49,3.53,2.08,0.06
Estonia,2021-02-19,50,59,6.1,3.4,0.09
Estonia,2021-02-19,60,69,6.08,3.29,0.08
Estonia,2021-02-19,70,79,6.99,2.32,0.06
Estonia,2021-02-19,80,,20.92,4.62,0.2
Estonia,2021-02-26,18,24,2.2,1.17,0.05
Estonia,2021-02-26,25,49,4.77,2.55,0.08
Estonia,2021-02-26,50,59,8.03,4.13,0.13
Estonia,2021-02-26,60,69,7.98,4.02,0.11
Estonia,2021-02-26,70,79,7.89,3.22,0.09
Estonia,2021-02-26,80,,24.39,7.48,0.26
Estonia,2021-03-05,18,24,3.1,1.56,0.06
Estonia,2021-03-05,25,49,6.21,2.86,0.1
Estonia,2021-03-05,50,59,10.88,4.64,0.14
Estonia,2021-03-05,60,69,11.73,4.61,0.13
Estonia,2021-03-05,70,79,9.56,4.63,0.1
Estonia,2021-03-05,80,,28.56,14.52,0.29
Estonia,2021-03-12,18,24,3.79,1.65,0.07
Estonia,2021-03-12,25,49,7.65,3.05,0.11
Estonia,2021-03-12,50,59,13.83,4.97,0.17
Estonia,2021-03-12,60,69,18.12,5.18,0.15
Estonia,2021-03-12,70,79,17.25,6.82,0.13
Estonia,2021-03-12,80,,34.5,20.53,0.32
Estonia,2021-03-19,18,24,4.73,1.77,0.07
Estonia,2021-03-19,25,49,9.0,3.19,0.12
Estonia,2021-03-19,50,59,16.3,5.2,0.18
Estonia,2021-03-19,60,69,21.51,5.44,0.17
Estonia,2021-03-19,70,79,24.58,7.86,0.14
Estonia,2021-03-19,80,,39.34,24.11,0.37
Estonia,2021-03-26,18,24,5.11,1.84,0.08
Estonia,2021-03-26,25,49,9.81,3.3,0.12
Estonia,2021-03-26,50,59,17.96,5.39,0.2
Estonia,2021-03-26,60,69,24.79,5.73,0.19
Estonia,2021-03-26,70,79,33.2,8.73,0.17
Estonia,2021-03-26,80,,45.62,26.79,0.44
Estonia,2021-04-02,18,24,5.56,1.92,0.08
Estonia,2021-04-02,25,49,10.78,3.44,0.13
Estonia,2021-04-02,50,59,20.8,5.7,0.21
Estonia,2021-04-02,60,69,30.83,6.38,0.22
Estonia,2021-04-02,70,79,41.2,11.67,0.23
Estonia,2021-04-02,80,,50.34,31.45,0.54
Estonia,2021-04-09,18,24,5.88,2.01,0.09
Estonia,2021-04-09,25,49,11.58,3.63,0.14
Estonia,2021-04-09,50,59,22.92,6.08,0.24
Estonia,2021-04-09,60,69,36.12,6.94,0.26
Estonia,2021-04-09,70,79,51.45,13.9,0.29
Estonia,2021-04-09,80,,56.35,33.79,0.66
Estonia,2021-04-16,18,24,6.21,2.18,0.1
Estonia,2021-04-16,25,49,12.45,4.33,0.17
Estonia,2021-04-16,50,59,25.32,7.57,0.3
Estonia,2021-04-16,60,69,41.37,8.69,0.32
Estonia,2021-04-16,70,79,59.28,15.46,0.36
Estonia,2021-04-16,80,,60.07,34.83,0.75
Estonia,2021-04-23,18,24,6.68,2.5,0.11
Estonia,2021-04-23,25,49,13.49,5.33,0.2
Estonia,2021-04-23,50,59,28.07,9.31,0.36
Estonia,2021-04-23,60,69,45.86,10.66,0.39
Estonia,2021-04-23,70,79,63.17,18.19,0.45
Estonia,2021-04-23,80,,62.04,36.28,0.8
Estonia,2021-04-30,18,24,7.53,3.47,0.15
Estonia,2021-04-30,25,49,15.08,6.85,0.26
Estonia,2021-04-30,50,59,32.48,12.2,0.47
Estonia,2021-04-30,60,69,50.11,14.66,0.52
Estonia,2021-04-30,70,79,66.09,22.18,0.56
Estonia,2021-04-30,80,,63.89,39.96,0.9
Estonia,2021-05-07,18,24,8.58,4.23,0.19
Estonia,2021-05-07,25,49,17.05,8.28,0.33
Estonia,2021-05-07,50,59,40.43,15.64,0.61
Estonia,2021-05-07,60,69,54.02,20.54,0.68
Estonia,2021-05-07,70,79,67.84,30.03,0.7
Estonia,2021-05-07,80,,65.07,45.47,1.0
Estonia,2021-05-14,18,24,9.66,4.67,0.22
Estonia,2021-05-14,25,49,19.56,9.21,0.39
Estonia,2021-05-14,50,59,45.65,17.55,0.71
Estonia,2021-05-14,60,69,56.38,23.48,0.76
Estonia,2021-05-14,70,79,68.83,34.92,0.83
Estonia,2021-05-14,80,,66.08,49.11,1.14
Estonia,2021-05-21,18,24,11.36,5.53,0.26
Estonia,2021-05-21,25,49,25.39,11.06,0.46
Estonia,2021-05-21,50,59,48.07,19.95,0.78
Estonia,2021-05-21,60,69,57.54,27.21,0.83
Estonia,2021-05-21,70,79,69.4,42.44,0.88
Estonia,2021-05-21,80,,66.78,54.57,1.18
Estonia,2021-05-28,18,24,18.14,7.66,0.29
Estonia,2021-05-28,25,49,29.9,13.2,0.51
Estonia,2021-05-28,50,59,49.45,23.14,0.86
Estonia,2021-05-28,60,69,58.36,32.37,0.92
Estonia,2021-05-28,70,79,69.93,49.8,0.96
Estonia,2021-05-28,80,,67.43,58.35,1.24
Estonia,2021-06-04,18,24,23.8,9.47,0.33
Estonia,2021-06-04,25,49,33.95,15.43,0.57
Estonia,2021-06-04,50,59,50.89,26.99,0.93
Estonia,2021-06-04,60,69,59.22,38.21,1.03
Estonia,2021-06-04,70,79,70.42,54.76,1.0
Estonia,2021-06-04,80,,67.96,60.51,1.27
Estonia,2021-06-11,0,17,0.3,0.05,0.0
Estonia,2021-06-11,18,24,28.22,11.87,0.41
Estonia,2021-06-11,25,49,36.93,18.5,0.63
Estonia,2021-06-11,50,59,52.17,34.26,1.04
Estonia,2021-06-11,60,69,60.02,45.23,1.12
Estonia,2021-06-11,70,79,70.86,59.71,1.04
Estonia,2021-06-11,80,,68.4,62.97,1.3
Estonia,2021-06-18,0,17,0.78,0.12,0.01
Estonia,2021-06-18,18,24,31.6,14.25,0.46
Estonia,2021-06-18,25,49,39.37,22.61,0.71
Estonia,2021-06-18,50,59,53.5,43.59,1.2
Estonia,2021-06-18,60,69,60.82,51.65,1.22
Estonia,2021-06-18,70,79,71.26,64.15,1.08
Estonia,2021-06-18,80,,68.76,64.81,1.32
Estonia,2021-06-25,0,17,1.38,0.19,0.01
Estonia,2021-06-25,18,24,32.88,15.9,0.5
Estonia,2021-06-25,25,49,40.36,24.65,0.75
Estonia,2021-06-25,50,59,54.06,46.86,1.25
Estonia,2021-06-25,60,69,61.13,54.62,1.25
Estonia,2021-06-25,70,79,71.38,66.36,1.09
Estonia,2021-06-25,80,,68.88,65.49,1.33
Estonia,2021-07-02,0,17,2.33,0.35,0.02
Estonia,2021-07-02,18,24,34.66,18.21,0.55
Estonia,2021-07-02,25,49,41.72,29.92,0.87
Estonia,2021-07-02,50,59,55.02,49.72,1.3
Estonia,2021-07-02,60,69,61.8,57.68,1.3
Estonia,2021-07-02,70,79,71.71,68.86,1.11
Estonia,2021-07-02,80,,69.14,66.44,1.35
Estonia,2021-07-09,0,17,3.4,0.76,0.03
Estonia,2021-07-09,18,24,36.61,23.44,0.65
Estonia,2021-07-09,25,49,43.31,33.88,0.95
Estonia,2021-07-09,50,59,56.21,51.33,1.36
Estonia,2021-07-09,60,69,62.62,58.95,1.34
Estonia,2021-07-09,70,79,72.12,69.69,1.14
Estonia,2021-07-09,80,,69.47,67.0,1.36
Estonia,2021-07-16,0,17,4.4,1.21,0.05
Estonia,2021-07-16,18,24,38.57,28.1,0.75
Estonia,2021-07-16,25,49,44.87,37.37,1.04
Estonia,2021-07-16,50,59,57.43,52.93,1.41
Estonia,2021-07-16,60,69,63.38,59.97,1.38
Estonia,2021-07-16,70,79,72.5,70.19,1.15
Estonia,2021-07-16,80,,69.76,67.39,1.38
Estonia,2021-07-23,0,17,5.88,1.93,0.06
Estonia,2021-07-23,18,24,41.99,32.9,0.84
Estonia,2021-07-23,25,49,46.88,40.73,1.1
Estonia,2021-07-23,50,59,59.0,54.73,1.45
Estonia,2021-07-23,60,69,64.51,61.17,1.41
Estonia,2021-07-23,70,79,73.15,70.8,1.17
Estonia,2021-07-23,80,,70.21,67.86,1.39
Estonia,2021-07-30,0,17,7.29,2.62,0.08
Estonia,2021-07-30,18,24,44.58,35.86,0.95
Estonia,2021-07-30,25,49,48.69,42.91,1.16
Estonia,2021-07-30,50,59,60.41,56.12,1.51
Estonia,2021-07-30,60,69,65.51,62.13,1.45
Estonia,2021-07-30,70,79,73.66,71.27,1.19
Estonia,2021-07-30,80,,70.58,68.18,1.4
Estonia,2021-08-06,0,17,9.12,3.48,0.11
Estonia,2021-08-06,18,24,48.07,38.13,1.09
Estonia,2021-08-06,25,49,51.18,44.78,1.25
Estonia,2021-08-06,50,59,62.23,57.47,1.59
Estonia,2021-08-06,60,69,66.7,63.01,1.51
Estonia,2021-08-06,70,79,74.32,71.71,1.22
Estonia,2021-08-06,80,,71.13,68.53,1.42
Estonia,2021-08-13,0,17,10.46,4.64,0.14
Estonia,2021-08-13,18,24,51.44,40.56,1.25
Estonia,2021-08-13,25,49,53.49,46.64,1.35
Estonia,2021-08-13,50,59,63.94,58.87,1.7
Estonia,2021-08-13,60,69,68.02,64.09,1.58
Estonia,2021-08-13,70,79,75.1,72.25,1.26
Estonia,2021-08-13,80,,71.76,68.92,1.45
Estonia,2021-08-20,0,17,11.28,5.54,0.16
Estonia,2021-08-20,18,24,53.83,42.77,1.4
Estonia,2021-08-20,25,49,55.07,48.0,1.44
Estonia,2021-08-20,50,59,65.19,59.96,1.79
Estonia,2021-08-20,60,69,68.9,64.87,1.64
Estonia,2021-08-20,70,79,75.59,72.7,1.29
Estonia,2021-08-20,80,,72.18,69.24,1.46
Estonia,2021-08-27,0,17,12.16,6.68,0.2
Estonia,2021-08-27,18,24,56.44,45.25,1.6
Estonia,2021-08-27,25,49,56.59,49.44,1.57
Estonia,2021-08-27,50,59,66.21,61.06,1.92
Estonia,2021-08-27,60,69,69.73,65.75,1.75
Estonia,2021-08-27,70,79,76.05,73.18,1.33
Estonia,2021-08-27,80,,72.58,69.6,1.5
Estonia,2021-09-03,0,17,12.5,8.01,0.23
Estonia,2021-09-03,18,24,57.97,47.4,1.76
Estonia,2021-09-03,25,49,57.49,50.96,1.7
Estonia,2021-09-03,50,59,66.88,62.18,2.03
Estonia,2021-09-03,60,69,70.21,66.54,1.83
Estonia,2021-09-03,70,79,76.32,73.69,1.38
Estonia,2021-09-03,80,,72.85,69.97,1.52
Estonia,2021-09-10,0,17,12.69,9.28,0.27
Estonia,2021-09-10,18,24,59.12,49.71,1.94
Estonia,2021-09-10,25,49,58.17,52.49,1.83
Estonia,2021-09-10,50,59,67.4,63.36,2.17
Estonia,2021-09-10,60,69,70.7,67.49,1.94
Estonia,2021-09-10,70,79,76.65,74.19,1.45
Estonia,2021-09-10,80,,73.11,70.38,1.56
Estonia,2021-09-17,0,17,12.92,10.56,0.31
Estonia,2021-09-17,18,24,60.16,52.41,2.11
Estonia,2021-09-17,25,49,58.9,54.37,1.98
Estonia,2021-09-17,50,59,67.96,64.71,2.33
Estonia,2021-09-17,60,69,71.17,68.45,2.06
Estonia,2021-09-17,70,79,76.94,74.75,1.52
Estonia,2021-09-17,80,,73.45,70.87,1.6
Estonia,2021-09-24,0,17,13.16,11.79,0.35
Estonia,2021-09-24,18,24,61.07,55.42,2.29
Estonia,2021-09-24,25,49,59.56,56.36,2.15
Estonia,2021-09-24,50,59,68.51,66.19,2.49
Estonia,2021-09-24,60,69,71.63,69.59,2.18
Estonia,2021-09-24,70,79,77.23,75.48,1.59
Estonia,2021-09-24,80,,73.79,71.56,1.67
Estonia,2021-10-01,0,17,13.35,12.53,0.38
Estonia,2021-10-01,18,24,61.73,57.3,2.44
Estonia,2021-10-01,25,49,60.07,57.58,2.25
Estonia,2021-10-01,50,59,68.9,67.08,2.6
Estonia,2021-10-01,60,69,72.01,70.28,2.29
Estonia,2021-10-01,70,79,77.5,75.93,1.65
Estonia,2021-10-01,80,,74.07,71.96,1.74
Estonia,2021-10-08,0,17,13.53,13.12,0.42
Estonia,2021-10-08,18,24,62.33,58.94,2.57
Estonia,2021-10-08,25,49,60.53,58.61,2.37
Estonia,2021-10-08,50,59,69.23,67.8,2.75
Estonia,2021-10-08,60,69,72.34,70.82,2.48
Estonia,2021-10-08,70,79,77.73,76.26,1.81
Estonia,2021-10-08,80,,74.31,72.29,1.89
Estonia,2021-10-15,0,17,13.69,13.44,0.44
Estonia,2021-10-15,18,24,62.93,60.22,2.81
Estonia,2021-10-15,25,49,61.08,59.5,2.76
Estonia,2021-10-15,50,59,69.72,68.47,3.26
Estonia,2021-10-15,60,69,72.79,71.35,3.02
Estonia,2021-10-15,70,79,78.05,76.62,2.41
Estonia,2021-10-15,80,,74.65,72.62,2.75
Estonia,2021-10-22,0,17,13.93,13.74,0.46
Estonia,2021-10-22,18,24,64.07,61.59,3.09
Estonia,2021-10-22,25,49,62.25,60.64,3.35
Estonia,2021-10-22,50,59,70.53,69.29,4.24
Estonia,2021-10-22,60,69,73.52,72.02,4.16
Estonia,2021-10-22,70,79,78.54,77.05,4.13
Estonia,2021-10-22,80,,75.13,73.07,5.61
Estonia,2021-10-29,0,17,14.43,14.03,0.49
Estonia,2021-10-29,18,24,65.63,63.03,3.46
Estonia,2021-10-29,25,49,63.61,61.74,4.17
Estonia,2021-10-29,50,59,71.61,70.1,6.02
Estonia,2021-10-29,60,69,74.46,72.62,7.1
Estonia,2021-10-29,70,79,79.27,77.48,9.76
Estonia,2021-10-29,80,,75.88,73.52,16.04
Estonia,2021-11-05,0,17,15.0,14.33,0.52
Estonia,2021-11-05,18,24,66.83,64.07,4.02
Estonia,2021-11-05,25,49,64.71,62.55,5.55
Estonia,2021-11-05,50,59,72.52,70.66,9.21
Estonia,2021-11-05,60,69,75.34,73.13,11.96
Estonia,2021-11-05,70,79,80.0,77.84,17.78
Estonia,2021-11-05,80,,76.65,73.93,26.77
Estonia,2021-11-12,0,17,15.37,14.53,0.54
Estonia,2021-11-12,18,24,67.61,64.76,4.68
Estonia,2021-11-12,25,49,65.37,63.11,6.89
Estonia,2021-11-12,50,59,73.02,71.05,11.99
Estonia,2021-11-12,60,69,75.88,73.5,16.5
Estonia,2021-11-12,70,79,80.47,78.16,24.53
Estonia,2021-11-12,80,,77.23,74.27,33.53
Estonia,2021-11-19,0,17,15.67,14.72,0.56
Estonia,2021-11-19,18,24,68.25,65.44,5.38
Estonia,2021-11-19,25,49,65.92,63.68,8.32
Estonia,2021-11-19,50,59,73.41,71.44,15.01
Estonia,2021-11-19,60,69,76.25,73.87,21.04
Estonia,2021-11-19,70,79,80.78,78.44,31.09
Estonia,2021-11-19,80,,77.72,74.62,38.34
Estonia,2021-11-26,0,17,15.9,14.96,0.58
Estonia,2021-11-26,18,24,68.79,66.11,6.0
Estonia,2021-11-26,25,49,66.34,64.29,9.44
Estonia,2021-11-26,50,59,73.71,71.87,17.25
Estonia,2021-11-26,60,69,76.52,74.26,25.02
Estonia,2021-11-26,70,79,81.03,78.72,37.31
Estonia,2021-11-26,80,,78.06,74.97,41.94
Estonia,2021-12-03,0,17,16.11,15.26,0.61
Estonia,2021-12-03,18,24,69.27,66.93,6.63
Estonia,2021-12-03,25,49,66.7,64.96,10.48
Estonia,2021-12-03,50,59,73.95,72.34,19.47
Estonia,2021-12-03,60,69,76.71,74.7,29.22
Estonia,2021-12-03,70,79,81.23,79.08,42.78
Estonia,2021-12-03,80,,78.31,75.33,44.8
Estonia,2021-12-10,0,17,16.27,15.71,0.64
Estonia,2021-12-10,18,24,69.71,67.84,7.34
Estonia,2021-12-10,25,49,67.0,65.64,11.73
Estonia,2021-12-10,50,59,74.13,72.9,22.2
Estonia,2021-12-10,60,69,76.86,75.26,33.9
