location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Norway,2021-01-01,18,24,0.0,0.0,0.0
Norway,2021-01-01,25,49,0.0,0.0,0.0
Norway,2021-01-01,50,59,0.0,0.0,0.0
Norway,2021-01-01,60,69,0.0,0.0,0.0
Norway,2021-01-01,70,79,0.0,0.0,0.0
Norway,2021-01-01,80,,0.0,0.0,0.0
Norway,2021-01-08,0,17,0.0,0.0,0.0
Norway,2021-01-08,18,24,0.03,0.0,0.0
Norway,2021-01-08,25,49,0.06,0.0,0.0
Norway,2021-01-08,50,59,0.1,0.0,0.0
Norway,2021-01-08,60,69,0.26,0.0,0.0
Norway,2021-01-08,70,79,0.93,0.0,0.0
Norway,2021-01-08,80,,6.94,0.0,0.0
Norway,2021-01-15,0,17,0.0,0.0,0.0
Norway,2021-01-15,18,24,0.16,0.0,0.0
Norway,2021-01-15,25,49,0.53,0.0,0.0
Norway,2021-01-15,50,59,0.56,0.0,0.0
Norway,2021-01-15,60,69,0.63,0.0,0.0
Norway,2021-01-15,70,79,1.5,0.0,0.0
Norway,2021-01-15,80,,12.21,0.0,0.0
Norway,2021-01-22,0,17,0.0,0.0,0.0
Norway,2021-01-22,18,24,0.29,0.0,0.0
Norway,2021-01-22,25,49,1.0,0.01,0.0
Norway,2021-01-22,50,59,0.99,0.01,0.0
Norway,2021-01-22,60,69,0.97,0.03,0.0
Norway,2021-01-22,70,79,1.9,0.1,0.0
Norway,2021-01-22,80,,17.72,0.58,0.0
Norway,2021-01-29,0,17,0.0,0.0,0.0
Norway,2021-01-29,18,24,0.43,0.02,0.0
Norway,2021-01-29,25,49,1.29,0.06,0.0
Norway,2021-01-29,50,59,1.3,0.09,0.0
Norway,2021-01-29,60,69,1.23,0.24,0.0
Norway,2021-01-29,70,79,2.23,0.85,0.0
Norway,2021-01-29,80,,25.97,6.37,0.0
Norway,2021-02-05,0,17,0.0,0.0,0.0
Norway,2021-02-05,18,24,0.62,0.14,0.0
Norway,2021-02-05,25,49,1.73,0.49,0.0
Norway,2021-02-05,50,59,1.85,0.53,0.0
Norway,2021-02-05,60,69,1.66,0.6,0.0
Norway,2021-02-05,70,79,3.76,1.4,0.0
Norway,2021-02-05,80,,46.94,11.39,0.0
Norway,2021-02-12,0,17,0.01,0.0,0.0
Norway,2021-02-12,18,24,0.78,0.26,0.0
Norway,2021-02-12,25,49,2.06,0.96,0.0
Norway,2021-02-12,50,59,2.25,0.95,0.0
Norway,2021-02-12,60,69,2.0,0.93,0.0
Norway,2021-02-12,70,79,6.56,1.76,0.0
Norway,2021-02-12,80,,62.46,16.23,0.0
Norway,2021-02-19,0,17,0.01,0.0,0.0
Norway,2021-02-19,18,24,1.12,0.38,0.0
Norway,2021-02-19,25,49,2.89,1.24,0.0
Norway,2021-02-19,50,59,3.17,1.26,0.0
Norway,2021-02-19,60,69,2.58,1.18,0.0
Norway,2021-02-19,70,79,8.91,2.09,0.0
Norway,2021-02-19,80,,72.39,24.68,0.0
Norway,2021-02-26,0,17,0.01,0.0,0.0
Norway,2021-02-26,18,24,1.91,0.55,0.0
Norway,2021-02-26,25,49,3.98,1.63,0.0
Norway,2021-02-26,50,59,4.54,1.75,0.0
Norway,2021-02-26,60,69,3.3,1.57,0.0
Norway,2021-02-26,70,79,9.22,3.54,0.0
Norway,2021-02-26,80,,73.21,44.98,0.0
Norway,2021-03-05,0,17,0.01,0.0,0.0
Norway,2021-03-05,18,24,3.08,0.67,0.0
Norway,2021-03-05,25,49,5.46,1.91,0.0
Norway,2021-03-05,50,59,6.33,2.12,0.0
Norway,2021-03-05,60,69,4.47,1.86,0.0
Norway,2021-03-05,70,79,10.47,5.36,0.0
Norway,2021-03-05,80,,76.24,58.61,0.0
Norway,2021-03-12,0,17,0.02,0.0,0.0
Norway,2021-03-12,18,24,3.86,0.8,0.0
Norway,2021-03-12,25,49,6.29,2.15,0.0
Norway,2021-03-12,50,59,7.67,2.41,0.0
Norway,2021-03-12,60,69,5.9,2.12,0.0
Norway,2021-03-12,70,79,12.13,8.44,0.0
Norway,2021-03-12,80,,80.77,70.36,0.0
Norway,2021-03-19,0,17,0.02,0.0,0.0
Norway,2021-03-19,18,24,3.96,0.83,0.0
Norway,2021-03-19,25,49,6.42,2.21,0.0
Norway,2021-03-19,50,59,7.86,2.48,0.0
Norway,2021-03-19,60,69,6.31,2.23,0.0
Norway,2021-03-19,70,79,19.98,8.75,0.0
Norway,2021-03-19,80,,88.78,71.37,0.0
Norway,2021-03-26,0,17,0.02,0.0,0.0
Norway,2021-03-26,18,24,4.36,0.86,0.0
Norway,2021-03-26,25,49,7.23,2.26,0.0
Norway,2021-03-26,50,59,8.85,2.56,0.0
Norway,2021-03-26,60,69,7.72,2.39,0.0
Norway,2021-03-26,70,79,36.81,9.39,0.0
Norway,2021-03-26,80,,92.22,73.11,0.0
Norway,2021-04-02,0,17,0.03,0.0,0.0
Norway,2021-04-02,18,24,4.68,0.88,0.0
Norway,2021-04-02,25,49,7.81,2.3,0.0
Norway,2021-04-02,50,59,9.87,2.61,0.0
Norway,2021-04-02,60,69,9.78,2.54,0.0
Norway,2021-04-02,70,79,49.86,10.55,0.0
Norway,2021-04-02,80,,93.2,76.7,0.0
Norway,2021-04-09,0,17,0.04,0.0,0.0
Norway,2021-04-09,18,24,5.27,0.94,0.0
Norway,2021-04-09,25,49,8.8,2.35,0.0
Norway,2021-04-09,50,59,12.26,2.7,0.0
Norway,2021-04-09,60,69,15.41,2.68,0.0
Norway,2021-04-09,70,79,71.85,11.67,0.0
Norway,2021-04-09,80,,94.02,78.8,0.0
Norway,2021-04-16,0,17,0.05,0.01,0.0
Norway,2021-04-16,18,24,5.89,0.98,0.0
Norway,2021-04-16,25,49,9.7,2.41,0.0
Norway,2021-04-16,50,59,15.01,2.79,0.0
Norway,2021-04-16,60,69,29.3,2.8,0.0
Norway,2021-04-16,70,79,89.27,12.05,0.0
Norway,2021-04-16,80,,94.67,79.15,0.0
Norway,2021-04-23,0,17,0.07,0.01,0.0
Norway,2021-04-23,18,24,6.44,1.05,0.0
Norway,2021-04-23,25,49,10.59,2.54,0.0
Norway,2021-04-23,50,59,17.79,3.07,0.0
Norway,2021-04-23,60,69,45.17,3.1,0.0
Norway,2021-04-23,70,79,95.17,12.34,0.0
Norway,2021-04-23,80,,95.04,79.59,0.0
Norway,2021-04-30,0,17,0.08,0.01,0.0
Norway,2021-04-30,18,24,7.18,1.2,0.0
Norway,2021-04-30,25,49,12.15,2.82,0.0
Norway,2021-04-30,50,59,23.85,3.52,0.0
Norway,2021-04-30,60,69,58.8,3.75,0.0
Norway,2021-04-30,70,79,97.35,19.78,0.0
Norway,2021-04-30,80,,95.38,87.2,0.0
Norway,2021-05-07,0,17,0.09,0.02,0.0
Norway,2021-05-07,18,24,7.98,1.57,0.0
Norway,2021-05-07,25,49,13.92,3.5,0.0
Norway,2021-05-07,50,59,27.92,4.45,0.0
