location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Portugal,2021-01-01,18,24,0.02,0.0,0.0
Portugal,2021-01-01,25,49,0.1,0.0,0.0
Portugal,2021-01-01,50,59,0.07,0.0,0.0
Portugal,2021-01-01,60,69,0.04,0.0,0.0
Portugal,2021-01-01,70,79,0.0,0.0,0.0
Portugal,2021-01-01,80,,0.0,0.0,0.0
Portugal,2021-01-08,10,14,0.0,0.0,0.0
Portugal,2021-01-08,15,17,0.0,0.0,0.0
Portugal,2021-01-08,18,24,0.42,0.0,0.0
Portugal,2021-01-08,25,49,1.56,0.0,0.0
Portugal,2021-01-08,50,59,1.12,0.0,0.0
Portugal,2021-01-08,60,69,0.61,0.0,0.0
Portugal,2021-01-08,70,79,0.12,0.0,0.0
Portugal,2021-01-08,80,,0.6,0.0,0.0
Portugal,2021-01-15,10,14,0.0,0.0,0.0
Portugal,2021-01-15,15,17,0.01,0.0,0.0
Portugal,2021-01-15,18,24,0.61,0.01,0.0
Portugal,2021-01-15,25,49,2.06,0.03,0.0
Portugal,2021-01-15,50,59,1.69,0.02,0.0
Portugal,2021-01-15,60,69,1.01,0.01,0.0
Portugal,2021-01-15,70,79,0.5,0.0,0.0
Portugal,2021-01-15,80,,2.75,0.0,0.0
Portugal,2021-01-22,10,14,0.0,0.0,0.0
Portugal,2021-01-22,15,17,0.03,0.0,0.0
Portugal,2021-01-22,18,24,1.11,0.16,0.0
Portugal,2021-01-22,25,49,3.2,0.68,0.0
Portugal,2021-01-22,50,59,3.04,0.45,0.0
Portugal,2021-01-22,60,69,1.91,0.24,0.0
Portugal,2021-01-22,70,79,1.51,0.02,0.0
Portugal,2021-01-22,80,,8.54,0.04,0.0
Portugal,2021-01-29,10,14,0.0,0.0,0.0
Portugal,2021-01-29,15,17,0.03,0.0,0.0
Portugal,2021-01-29,18,24,1.29,0.38,0.0
Portugal,2021-01-29,25,49,3.67,1.46,0.0
Portugal,2021-01-29,50,59,3.56,1.07,0.0
Portugal,2021-01-29,60,69,2.33,0.59,0.0
Portugal,2021-01-29,70,79,1.97,0.11,0.0
Portugal,2021-01-29,80,,9.64,0.54,0.0
Portugal,2021-02-05,15,17,0.04,0.0,0.0
Portugal,2021-02-05,18,24,1.42,0.5,0.0
Portugal,2021-02-05,25,49,3.98,1.83,0.0
Portugal,2021-02-05,50,59,3.84,1.51,0.0
Portugal,2021-02-05,60,69,2.54,0.91,0.0
Portugal,2021-02-05,70,79,2.16,0.38,0.0
Portugal,2021-02-05,80,,10.32,2.12,0.0
Portugal,2021-02-12,10,14,0.0,0.0,0.0
Portugal,2021-02-12,15,17,0.06,0.02,0.0
Portugal,2021-02-12,18,24,1.61,0.9,0.0
Portugal,2021-02-12,25,49,4.39,2.76,0.0
Portugal,2021-02-12,50,59,4.19,2.6,0.0
Portugal,2021-02-12,60,69,2.75,1.65,0.0
Portugal,2021-02-12,70,79,2.46,1.21,0.0
Portugal,2021-02-12,80,,12.52,6.81,0.0
Portugal,2021-02-19,15,17,0.07,0.03,0.0
Portugal,2021-02-19,18,24,1.91,1.12,0.0
Portugal,2021-02-19,25,49,5.07,3.33,0.0
Portugal,2021-02-19,50,59,5.07,3.23,0.0
Portugal,2021-02-19,60,69,3.86,2.13,0.0
Portugal,2021-02-19,70,79,2.77,1.7,0.0
Portugal,2021-02-19,80,,19.72,8.19,0.0
Portugal,2021-02-26,15,17,0.08,0.04,0.0
Portugal,2021-02-26,18,24,2.09,1.22,0.0
Portugal,2021-02-26,25,49,5.42,3.55,0.0
Portugal,2021-02-26,50,59,6.95,3.48,0.0
Portugal,2021-02-26,60,69,6.04,2.3,0.0
Portugal,2021-02-26,70,79,3.35,1.87,0.0
Portugal,2021-02-26,80,,34.91,8.97,0.0
Portugal,2021-03-05,15,17,0.08,0.05,0.0
Portugal,2021-03-05,18,24,2.22,1.35,0.0
Portugal,2021-03-05,25,49,5.65,3.85,0.0
Portugal,2021-03-05,50,59,8.16,3.78,0.0
Portugal,2021-03-05,60,69,7.43,2.51,0.0
Portugal,2021-03-05,70,79,4.18,2.16,0.0
Portugal,2021-03-05,80,,47.84,10.87,0.0
Portugal,2021-03-12,15,17,0.09,0.06,0.0
Portugal,2021-03-12,18,24,2.4,1.44,0.0
Portugal,2021-03-12,25,49,6.16,4.04,0.0
Portugal,2021-03-12,50,59,9.12,3.99,0.0
Portugal,2021-03-12,60,69,8.43,2.68,0.0
Portugal,2021-03-12,70,79,5.4,2.44,0.0
Portugal,2021-03-12,80,,53.81,16.4,0.0
Portugal,2021-03-19,15,17,0.09,0.06,0.0
Portugal,2021-03-19,18,24,2.44,1.49,0.0
Portugal,2021-03-19,25,49,6.3,4.15,0.0
